date,ticker,gain_pct,relative_volume,close
2024-10-21,ACFN,16.88,2.71,13.5
2024-11-07,ACFN,12.05,8.04,15.81
2025-07-23,ACFN,13.23,13.4,18.06
2026-01-05,ACFN,26.61,2.83,19.27
2025-09-03,AEI,31.48,101.17,2.13
2025-10-27,AEI,14.95,2.21,3.23
2025-12-03,AEI,17.05,3.19,3.09
2025-12-31,AEI,25.55,3.83,3.44
2026-01-07,AEI,11.73,2.31,3.81
2026-02-25,AGPU,17.19,3.09,2.59
2026-04-01,AGPU,119.75,2258.62,3.56
2026-04-22,AGPU,79.3,14.65,8.75
2026-05-26,AGPU,29.59,3.24,6.92
2024-12-30,AISPW,23.43,2.33,2.16
2025-02-13,AISPW,18.12,4.51,2.33
2025-10-06,AISPW,40.0,6.51,3.08
2025-10-14,AISPW,21.92,2.54,2.39
2024-08-16,ALTS,25.41,15.58,2.27
2024-08-19,ALTS,28.63,13.36,2.92
2024-10-15,ALTS,20.22,2.13,2.14
2024-12-02,ALTS,13.42,2.22,2.62
2024-12-06,ALTS,16.54,2.52,3.03
2024-12-23,ALTS,12.76,3.34,4.33
2025-01-07,ALTS,15.84,2.13,6.8
2025-04-17,ALTS,21.46,3.53,5.15
2025-05-23,ALTS,24.09,5.66,8.91
2025-08-07,ALTS,20.83,2.49,8.18
2025-08-13,ALTS,16.78,4.76,6.96
2025-10-28,ALTS,17.52,2.27,2.65
2026-01-14,ALTS,30.94,5.2,2.37
2026-05-14,ANY,14.08,3.05,2.43
2026-06-01,ANY,111.58,555.37,4.02
2026-06-03,ANY,44.5,3.68,5.65
2024-08-28,ASST,42.78,15.15,2.77
2024-09-03,ASST,44.37,3.62,2.05
2024-09-04,ASST,29.76,6.96,2.66
2025-05-07,ASST,455.74,1312.0,3.39
2025-05-08,ASST,126.84,15.1,7.69
2025-07-07,ASST,63.47,36.29,6.98
2025-08-11,ASST,29.79,2.2,4.27
2025-08-26,ASST,16.46,2.88,5.59
2025-09-09,ASST,17.82,3.25,6.28
2025-09-10,ASST,28.82,10.24,8.09
2025-09-19,ASST,12.57,2.45,4.3
2026-04-17,ASST,11.66,2.21,15.61
2024-07-31,ATOM,13.23,3.84,3.51
2024-10-09,ATOM,15.36,4.4,3.23
2024-10-10,ATOM,12.07,5.06,3.62
2024-10-30,ATOM,28.23,4.13,4.27
2024-11-07,ATOM,14.63,2.11,5.25
2024-12-26,ATOM,23.09,3.4,12.58
2024-12-27,ATOM,13.43,3.46,14.27
2025-01-03,ATOM,27.9,2.84,16.55
2025-02-13,ATOM,25.0,2.02,6.65
2025-05-07,ATOM,18.54,4.83,6.01
2025-09-22,ATOM,18.55,4.04,4.41
2025-10-23,ATOM,12.74,2.34,3.23
2026-01-27,ATOM,16.55,4.64,3.31
2026-02-13,ATOM,64.02,45.75,3.92
2026-02-17,ATOM,46.17,17.46,5.73
2026-04-20,ATOM,18.5,2.32,6.34
2026-04-24,ATOM,38.93,32.23,8.6
2026-05-01,ATOM,35.57,3.13,11.09
2024-07-30,AXIL,13.27,5.31,6.649
2025-01-23,AXIL,19.0,4.16,4.748
2025-01-24,AXIL,39.01,9.64,6.6
2025-02-13,AXIL,18.31,2.77,7.82
2025-02-18,AXIL,16.96,4.75,9.98
2025-04-11,AXIL,14.61,5.12,5.1
2025-06-17,AXIL,12.06,2.62,6.04
2025-07-17,AXIL,10.77,3.48,5.76
2025-07-18,AXIL,18.49,2.16,6.825
2025-08-04,AXIL,12.78,2.45,9.97
2025-09-10,AXIL,39.57,6.47,7.13
2025-10-16,AXIL,15.47,2.45,6.12
2025-12-11,AXIL,59.36,3101.91,8.0
2024-11-26,BDMD,20.02,5.21,2.4004
2024-12-19,BDMD,50.32,21.27,2.33
2024-12-23,BDMD,12.02,3.22,2.05
2024-12-31,BDMD,623.81,921.99,7.6
2025-01-17,BDMD,63.28,3.62,8.85
2025-03-12,BDMD,14.5,4.0,5.29
2025-04-23,BDMD,15.88,4.28,6.64
2025-06-02,BDMD,14.55,3.94,4.41
2025-06-13,BDMD,25.29,7.53,5.4
2025-06-17,BDMD,26.51,3.36,7.1
2024-09-10,BKYI,97.04,13850.92,2.0
2024-09-11,BKYI,15.5,2.08,2.31
2024-12-30,BKYI,68.79,15.96,2.38
2025-01-15,BKYI,66.42,212.33,2.28
2026-06-23,BKYI,19.49,2.52,4.66
2026-07-07,BKYI,43.35,21.51,5.89
2025-02-19,BOWN,18.0,2.28,4.13
