event_date,ticker,bar_ts,open,high,low,close,volume
2024-10-21,ACFN,2024-10-21 10:10:00,11.9,11.9,11.9,11.9,200.0
2024-10-21,ACFN,2024-10-21 11:05:00,12.5,12.5,12.5,12.5,670.0
2024-10-21,ACFN,2024-10-21 11:35:00,12.5,12.5,12.5,12.5,100.0
2024-10-21,ACFN,2024-10-21 12:45:00,12.95,13.0,12.95,13.0,2702.0
2024-10-21,ACFN,2024-10-21 12:50:00,13.0,13.25,13.0,13.25,800.0
2024-10-21,ACFN,2024-10-21 12:55:00,13.25,13.25,13.25,13.25,195.0
2024-10-21,ACFN,2024-10-21 13:05:00,13.28,13.28,13.28,13.28,300.0
2024-10-21,ACFN,2024-10-21 13:15:00,13.3,13.3,13.3,13.3,200.0
2024-10-21,ACFN,2024-10-21 13:20:00,13.4,13.4,13.4,13.4,100.0
2024-10-21,ACFN,2024-10-21 13:25:00,13.8,13.8,13.8,13.8,1400.0
2024-10-21,ACFN,2024-10-21 13:30:00,13.8,13.8,13.8,13.8,657.0
2024-10-21,ACFN,2024-10-21 13:40:00,13.73,13.73,13.73,13.73,250.0
2024-10-21,ACFN,2024-10-21 14:30:00,13.4635,13.5,13.45,13.5,700.0
2026-01-05,ACFN,2026-01-05 07:55:00,15.29,15.29,15.29,15.29,100.0
2026-01-05,ACFN,2026-01-05 09:30:00,15.79,16.505,15.4,16.505,4509.0
2026-01-05,ACFN,2026-01-05 09:35:00,16.4555,17.0,16.45,17.0,1142.0
2026-01-05,ACFN,2026-01-05 09:45:00,16.81,16.91,16.81,16.91,243.0
2026-01-05,ACFN,2026-01-05 09:50:00,16.85,17.775,16.85,17.775,3806.0
2026-01-05,ACFN,2026-01-05 09:55:00,17.76,17.76,17.6459,17.6459,400.0
2026-01-05,ACFN,2026-01-05 10:05:00,17.04,17.04,17.04,17.04,223.0
2026-01-05,ACFN,2026-01-05 10:10:00,17.9,17.9,17.9,17.9,100.0
2026-01-05,ACFN,2026-01-05 10:15:00,18.291,18.291,17.905,17.905,1179.0
2026-01-05,ACFN,2026-01-05 10:20:00,17.905,17.905,17.905,17.905,300.0
2026-01-05,ACFN,2026-01-05 10:25:00,17.7916,18.29,17.7916,18.29,1592.0
2026-01-05,ACFN,2026-01-05 10:30:00,18.3,18.42,18.14,18.295,2257.0
2026-01-05,ACFN,2026-01-05 10:35:00,18.4,18.4,18.3,18.3,812.0
2026-01-05,ACFN,2026-01-05 10:40:00,18.205,18.32,18.02,18.32,1153.0
2026-01-05,ACFN,2026-01-05 10:45:00,18.5,18.63,18.5,18.6,3799.0
2026-01-05,ACFN,2026-01-05 10:50:00,18.72,19.11,18.7135,19.11,2887.0
2026-01-05,ACFN,2026-01-05 10:55:00,19.11,19.36,18.8334,19.2578,4530.0
2026-01-05,ACFN,2026-01-05 11:00:00,19.23,19.23,18.965,18.965,1674.0
2026-01-05,ACFN,2026-01-05 11:05:00,19.23,19.27,19.025,19.025,1780.0
2026-01-05,ACFN,2026-01-05 11:10:00,18.9828,18.985,18.9828,18.985,1003.0
2026-01-05,ACFN,2026-01-05 11:15:00,19.15,19.15,18.6802,18.6802,420.0
2026-01-05,ACFN,2026-01-05 11:20:00,18.83,19.1,18.83,18.94,3739.0
2026-01-05,ACFN,2026-01-05 11:25:00,19.11,19.281,18.97,19.125,3912.0
2026-01-05,ACFN,2026-01-05 11:30:00,18.89,19.05,18.8355,19.02,2157.0
2026-01-05,ACFN,2026-01-05 11:35:00,19.0,19.365,19.0,19.365,4442.0
2026-01-05,ACFN,2026-01-05 11:40:00,19.5,19.63,19.29,19.3,10244.0
2026-01-05,ACFN,2026-01-05 11:45:00,19.58,20.0,19.58,20.0,2221.0
2026-01-05,ACFN,2026-01-05 11:50:00,19.97,20.2,19.76,19.76,5129.0
2026-01-05,ACFN,2026-01-05 11:55:00,19.76,19.95,19.76,19.95,1215.0
2026-01-05,ACFN,2026-01-05 12:00:00,19.7785,19.7785,19.5,19.5,1172.0
2026-01-05,ACFN,2026-01-05 12:05:00,19.71,19.815,19.5,19.5,1708.0
2026-01-05,ACFN,2026-01-05 12:10:00,19.55,19.69,18.91,19.2,10734.0
2026-01-05,ACFN,2026-01-05 12:15:00,19.48,19.57,19.0388,19.3,4530.0
2026-01-05,ACFN,2026-01-05 12:20:00,19.52,20.1,19.51,19.77,6151.0
2026-01-05,ACFN,2026-01-05 12:25:00,19.875,20.25,19.5,19.6,12772.0
2026-01-05,ACFN,2026-01-05 12:30:00,19.65,19.875,18.97,18.97,16074.0
2026-01-05,ACFN,2026-01-05 12:35:00,18.88,18.88,18.68,18.689,884.0
2026-01-05,ACFN,2026-01-05 12:40:00,19.3001,19.3001,19.3001,19.3001,2114.0
2026-01-05,ACFN,2026-01-05 12:45:00,18.83,18.83,18.83,18.83,250.0
2026-01-05,ACFN,2026-01-05 12:50:00,19.2,19.2,19.2,19.2,200.0
2026-01-05,ACFN,2026-01-05 13:00:00,19.25,19.25,19.25,19.25,686.0
2026-01-05,ACFN,2026-01-05 13:10:00,19.35,19.35,19.35,19.35,100.0
2026-01-05,ACFN,2026-01-05 13:15:00,19.35,19.35,19.35,19.35,202.0
2026-01-05,ACFN,2026-01-05 13:20:00,19.43,19.43,19.43,19.43,200.0
2026-01-05,ACFN,2026-01-05 13:25:00,19.3992,19.3992,18.941,18.941,3314.0
2026-01-05,ACFN,2026-01-05 13:35:00,19.01,19.2,19.01,19.2,619.0
2026-01-05,ACFN,2026-01-05 13:40:00,19.23,19.23,19.23,19.23,200.0
2026-01-05,ACFN,2026-01-05 13:50:00,19.33,19.73,19.33,19.595,2147.0
2026-01-05,ACFN,2026-01-05 13:55:00,19.7585,19.7585,19.7585,19.7585,200.0
2026-01-05,ACFN,2026-01-05 14:00:00,19.85,19.985,19.85,19.8743,1101.0
2026-01-05,ACFN,2026-01-05 14:05:00,19.9,19.9,19.9,19.9,225.0
2026-01-05,ACFN,2026-01-05 14:10:00,19.585,19.585,19.585,19.585,177.0
2026-01-05,ACFN,2026-01-05 14:15:00,19.5,19.7499,19.17,19.17,708.0
2026-01-05,ACFN,2026-01-05 14:20:00,19.74,19.8,19.74,19.79,2405.0
2026-01-05,ACFN,2026-01-05 14:25:00,19.75,19.75,19.75,19.75,164.0
