date,ticker,gain_pct,relative_volume,close
2024-10-21,ACFN,16.88,2.71,13.5
2026-01-05,ACFN,26.61,2.83,19.27
2025-12-31,AEI,25.55,3.83,3.44
2026-04-22,AGPU,79.3,14.65,8.75
2025-02-13,AISPW,18.12,4.51,2.33
2024-08-19,ALTS,28.63,13.36,2.92
2024-12-23,ALTS,12.76,3.34,4.33
2025-08-07,ALTS,20.83,2.49,8.18
2026-01-14,ALTS,30.94,5.2,2.37
2024-08-28,ASST,42.78,15.15,2.77
2025-05-08,ASST,126.84,15.1,7.69
2025-08-26,ASST,16.46,2.88,5.59
2026-04-17,ASST,11.66,2.21,15.61
2024-10-30,ATOM,28.23,4.13,4.27
2025-01-03,ATOM,27.9,2.84,16.55
2025-09-22,ATOM,18.55,4.04,4.41
2026-02-17,ATOM,46.17,17.46,5.73
2024-07-30,AXIL,13.27,5.31,6.649
2025-02-18,AXIL,16.96,4.75,9.98
2025-07-17,AXIL,10.77,3.48,5.76
2025-10-16,AXIL,15.47,2.45,6.12
2024-12-23,BDMD,12.02,3.22,2.05
2025-03-12,BDMD,14.5,4.0,5.29
2025-06-17,BDMD,26.51,3.36,7.1
2025-01-15,BKYI,66.42,212.33,2.28
2025-03-19,BOWN,47.51,392.58,6.38
2024-11-11,BTM,54.02,134.79,2.68
2025-05-22,BTM,16.23,2.86,3.51
2026-04-13,BTM,49.81,21.21,3.94
2025-07-21,BYON,22.49,3.33,10.84
2024-10-15,CELZ,17.78,3.55,5.3
2025-02-13,CELZ,11.14,5.72,4.59
2025-06-18,CELZ,11.61,4.7,2.5
2024-12-23,CHEK,281.36,2593.73,2.25
2025-02-18,CMRX,10.27,3.29,4.83
2025-01-15,COMP,19.35,3.13,6.66
2025-03-19,CSAI,41.83,8.67,7.9
2025-07-15,CYCC,272.51,25.36,12.33
2025-05-15,DBRG,24.4,7.77,11.83
2024-09-24,DJTWW,11.83,5.62,7.94
2025-04-09,DJTWW,13.36,2.21,12.47
2026-02-09,DJTWW,11.13,2.24,6.69
2025-12-23,DZZ,23.69,15.79,3.55
2026-06-25,DZZ,12.25,7.37,2.071
2024-07-26,ESLA,29.24,108.72,2.21
2025-08-13,FATN,20.66,2.5,7.3
2026-03-26,FATN,37.57,38.34,2.38
2025-01-27,FMST,10.33,52.01,2.03
2025-05-27,FMST,23.66,2.58,3.24
2025-08-05,FMST,15.68,2.41,3.32
2025-10-15,FMST,10.82,3.18,4.3
2025-05-27,GLE,10.78,4.28,2.825
2024-11-11,GWH,19.11,2.67,9.85
2025-07-22,GWH,33.33,4.02,2.08
2025-10-13,GWH,117.55,10.93,9.05
2025-09-15,HONDW,10.34,7.77,3.04
2025-07-22,HTOO,56.78,13.69,6.71
2024-11-29,HURA,29.9,7.66,6.56
2025-01-29,HURA,17.17,3.83,5.05
2025-08-11,HURA,32.61,32.01,3.05
2024-10-22,HYZN,32.12,268.72,2.55
2024-07-29,ISPO,50.57,520.95,5.24
2025-11-13,ISPO,11.59,10.78,2.6
2024-11-12,KAPA,51.05,49.27,2.0543
2025-06-04,KZIA,11.8,2.23,5.355
2026-01-05,KZIA,14.4,2.43,5.72
2026-04-07,KZIA,31.06,3.67,9.62
2024-11-22,LESL,11.15,2.08,3.19
2026-05-14,LESL,144.76,216.64,3.5
2025-08-05,LIND,10.36,3.84,13.63
2024-08-29,LUCY,53.78,877.8,5.09
2025-04-10,LUCY,102.04,355.73,4.95
2025-09-22,LUCY,10.31,3.25,2.14
2025-05-19,MDCXW,25.11,4.93,2.74
2024-09-03,MMA,21.8,2.04,3.73
2026-05-04,MRDN,16.82,11.89,12.85
2026-04-21,NCEL,19.43,9.27,3.38
2024-07-10,NERV,10.78,5.73,3.35
2025-10-08,NERV,29.82,42.53,2.83
2026-02-10,NERV,11.68,2.47,6.31
2024-10-28,NKLA,20.14,2.7,5.31
2024-11-13,NPWR,13.33,2.81,12.84
2025-09-18,NPWR,17.41,2.46,2.63
2025-10-14,NPWR,22.65,2.21,4.82
2024-12-17,NUKK,754.68,1650.83,11.88
2025-04-23,NUKK,11.89,2.3,16.0
2025-08-29,NUKK,31.98,28.87,4.87
2024-10-29,NXL,18.64,2.71,2.61
2025-08-04,ONDS,21.36,2.02,2.67
2025-11-13,ONDS,19.06,3.08,6.56
2026-04-01,OTH,22.11,2.45,2.43
2026-01-22,PHGE,16.67,2.93,3.57
2024-08-13,PMD,27.21,39.82,2.3279
