date,ticker,open,high,low,close,volume
2024-06-03,AACT.WS,0.13,0.1301,0.13,0.1301,3800.0
2024-06-04,AACT.WS,0.125,0.1392,0.125,0.1301,406473.0
2024-06-05,AACT.WS,0.1366,0.15,0.1366,0.14,7700.0
2024-06-07,AACT.WS,0.14,0.15,0.14,0.14,1062.0
2024-06-13,AACT.WS,0.135751,0.14,0.131601,0.14,2600.0
2024-06-14,AACT.WS,0.1315,0.147,0.13,0.147,15135.0
2024-06-17,AACT.WS,0.1311,0.145,0.1299,0.1398,67600.0
2024-06-18,AACT.WS,0.1328,0.1328,0.1201,0.126219,21440.0
2024-06-20,AACT.WS,0.13,0.1325,0.13,0.13,46911.0
2024-06-21,AACT.WS,0.1365,0.1365,0.1235,0.13,421.0
2024-06-24,AACT.WS,0.13,0.15,0.13,0.147425,16898.0
2024-06-25,AACT.WS,0.1401,0.1497,0.1201,0.1301,107421.0
2024-06-26,AACT.WS,0.13,0.1301,0.1236,0.13,155600.0
2024-07-02,AACT.WS,0.13,0.13,0.1235,0.13,28420.0
2024-07-05,AACT.WS,0.1365,0.1365,0.1365,0.1365,100.0
2024-07-08,AACT.WS,0.1324,0.1433,0.1205,0.13,32981.0
2024-07-09,AACT.WS,0.13,0.1365,0.13,0.1365,51855.0
2024-07-10,AACT.WS,0.1324,0.1433,0.13,0.1433,1375.0
2024-07-11,AACT.WS,0.1368,0.1368,0.13,0.13,7032.0
2024-07-12,AACT.WS,0.1261,0.1337,0.1201,0.1337,6200.0
2024-07-16,AACT.WS,0.13,0.13,0.1299,0.1299,126300.0
2024-07-17,AACT.WS,0.13,0.1301,0.12,0.12,17381.0
2024-07-18,AACT.WS,0.126,0.126,0.1259,0.1259,417.0
2024-07-22,AACT.WS,0.1298,0.13,0.125,0.125,22748.0
2024-07-23,AACT.WS,0.13,0.13,0.1188,0.12,1206.0
2024-07-24,AACT.WS,0.14,0.14,0.14,0.14,416.0
2024-07-25,AACT.WS,0.13,0.132,0.1201,0.1202,164202.0
2024-07-26,AACT.WS,0.1262,0.1387,0.1262,0.1375,156190.0
2024-07-29,AACT.WS,0.1375,0.1375,0.1375,0.1375,600.0
2024-07-30,AACT.WS,0.1375,0.1375,0.12,0.1202,104250.0
2024-07-31,AACT.WS,0.1259,0.14,0.1099,0.125251,267575.0
2024-08-01,AACT.WS,0.125,0.1412,0.0754,0.099025,2040922.0
2024-08-02,AACT.WS,0.0999,0.1125,0.0999,0.1001,57131.0
2024-08-05,AACT.WS,0.105,0.105,0.0999,0.0999,5200.0
2024-08-06,AACT.WS,0.095,0.1025,0.095,0.1025,13000.0
2024-08-07,AACT.WS,0.105,0.1052,0.1047,0.1051,4200.0
2024-08-08,AACT.WS,0.1104,0.1294,0.1104,0.1294,3800.0
2024-08-09,AACT.WS,0.1255,0.135,0.1174,0.135,6954.0
2024-08-12,AACT.WS,0.1282,0.1282,0.1256,0.1256,400.0
2024-08-13,AACT.WS,0.1218,0.12245,0.1168,0.1168,3100.0
